,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
794,794,2019-02-04,WAS,ATL,48,97,0.495,36,59,0.61,12,38,0.316,21,29,0.724,129,46,91,0.505,26,51,0.51,20,40,0.5,25,29,0.862,137,132.98969072164948,150.54945054945054,1500,1500,1500
795,795,2019-02-05,CHO,LAC,39,93,0.419,24,51,0.471,15,42,0.357,22,26,0.846,115,42,87,0.483,24,63,0.381,18,24,0.75,15,17,0.882,117,123.65591397849462,134.48275862068965,1500,1500,1500
796,796,2019-02-05,CLE,BOS,40,96,0.417,31,63,0.492,9,33,0.273,7,8,0.875,96,40,82,0.488,31,56,0.554,9,26,0.346,14,14,1.0,103,100.0,125.60975609756098,1500,1500,1500
797,797,2019-02-05,IND,LAL,56,98,0.571,37,64,0.578,19,34,0.559,5,8,0.625,136,35,75,0.467,31,54,0.574,4,21,0.19,20,26,0.769,94,138.77551020408163,125.33333333333334,1500,1500,1500
798,798,2019-02-05,MEM,MIN,36,86,0.419,21,52,0.404,15,34,0.441,21,29,0.724,108,39,87,0.448,30,58,0.517,9,29,0.31,19,20,0.95,106,125.5813953488372,121.83908045977012,1500,1500,1500
799,799,2019-02-05,NYK,DET,36,90,0.4,27,57,0.474,9,33,0.273,11,15,0.733,92,37,79,0.468,25,45,0.556,12,34,0.353,19,24,0.792,105,102.2222222222222,132.91139240506328,1500,1500,1500
800,800,2019-02-05,OKC,ORL,46,92,0.5,33,62,0.532,13,30,0.433,27,37,0.73,132,42,90,0.467,31,53,0.585,11,37,0.297,27,34,0.794,122,143.47826086956522,135.55555555555557,1500,1500,1500
801,801,2019-02-05,PHI,TOR,31,70,0.443,24,46,0.522,7,24,0.292,38,41,0.927,107,41,89,0.461,30,58,0.517,11,31,0.355,26,32,0.813,119,152.85714285714283,133.7078651685393,1500,1500,1500
802,802,2019-02-05,POR,MIA,42,93,0.452,27,54,0.5,15,39,0.385,9,12,0.75,108,45,83,0.542,38,61,0.623,7,22,0.318,21,25,0.84,118,116.12903225806453,142.16867469879517,1500,1500,1500
803,803,2019-02-06,BRK,DEN,46,90,0.511,27,56,0.482,19,34,0.559,24,33,0.727,135,50,99,0.505,37,64,0.578,13,35,0.371,17,21,0.81,130,150.0,131.31313131313132,1500,1500,1500
804,804,2019-02-06,CHI,NOP,45,91,0.495,29,55,0.527,16,36,0.444,14,19,0.737,120,45,85,0.529,30,50,0.6,15,35,0.429,20,30,0.667,125,131.86813186813183,147.05882352941177,1500,1500,1500
805,805,2019-02-06,DAL,CHO,38,94,0.404,27,58,0.466,11,36,0.306,12,17,0.706,99,36,89,0.404,27,52,0.519,9,37,0.243,12,17,0.706,93,105.3191489361702,104.49438202247192,1500,1500,1500
